FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2020-12-15,Martes,18:30:00,GRAN YOMASA E-5,dic.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,49,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-01-19,Martes,15:10:00,SAN JOSE E-14,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,47,CASADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-02-16,Martes,17:00:00,LA CABAÑA E-5,feb.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,39,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ARQUITECTURA,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2021-03-21,Domingo,20:30:00,BONANZA E-10,mar.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,28,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-03-23,Martes,15:30:00,LA ALMERIA E-11,mar.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,80,SOLTERO,COLOMBIA,AMA DE CASA,NO REPORTADA,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2021-04-29,Jueves,19:00:00,EL REMANSO E-7,abr.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,32,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-05-13,Jueves,07:41:00,PUENTE ARANDA E-16,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO TAXI,PASAJERO TAXI,43,SOLTERO,COLOMBIA,EMPLEADO EJERCITO,NO REPORTADA,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-05-20,Jueves,10:37:00,LA PRIMAVERA E-16,may.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,45,CASADO,COLOMBIA,COMERCIANTE,-,PRIMARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-07-26,Lunes,14:00:00,EL LISTON E-14,jul.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-08-01,Domingo,23:55:00,EL RETIRO E-2,ago.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,A PIE,-,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-08-12,Jueves,12:02:00,LA CORUÑA E-19,ago.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,57,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2021-10-06,Miércoles,23:35:00,SANTANDER E-15,oct.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,SOLTERO,COLOMBIA,COMERCIANTE,NO REPORTADA,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2021-12-17,Viernes,07:45:00,BETANIA E-9,dic.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,54,CASADO,COLOMBIA,COMERCIANTE,NO REPORTADA,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2022-02-26,Sábado,03:30:00,CIUDAD TECHO II E-8,feb.,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,A PIE,A PIE,37,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,ANALISTAS DE SISTEMAS,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2022-03-09,Miércoles,21:50:00,EL GACO E-10,mar.,URBANA,ZONA DE PARQUEO,SIN EMPLEO DE ARMAS,A PIE,A PIE,41,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2022-05-08,Domingo,03:45:00,EL RETIRO E-2,may.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,ESPECIALIZACION EN ORTODONCIA,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2022-05-08,Domingo,03:45:00,EL RETIRO E-2,may.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2022-05-21,Sábado,04:00:00,LAS FLORES E-11,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,MEDICINA,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2022-05-27,Viernes,14:00:00,ROMA E-8,may.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,53,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
