FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2012-02-06,Lunes,09:30:00,SAN BLAS E-4,feb.,URBANA,VIAS PUBLICAS,NO REPORTADO,-,-,22.0,UNION LIBRE,COLOMBIA,EMPLEADO POLICIAL,POLICIAS,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-02-06,Lunes,10:00:00,OINAR DEL CONTRY NORTE E-1,feb.,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,29.0,SOLTERO,COLOMBIA,CANDIDATOS,-,PRIMARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-02-07,Martes,21:00:00,EL BATAN E-11,feb.,URBANA,VEHICULO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,37.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERÍA DE SISTEMAS,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-02-13,Lunes,18:25:00,EL VERGEL E-14,feb.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,20.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-02-13,Lunes,18:00:00,TIMIZA E-8,feb.,URBANA,FRENTE CLINICA U HOSPITAL - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,38.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-02-24,Viernes,10:15:00,VILLA ALSACIA E-8,feb.,URBANA,VIAS PUBLICAS,-,A PIE,CONDUCTOR VEHICULO,18.0,-,COLOMBIA,COMERCIANTE,-,-,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-02-28,Martes,09:00:00,CENTRO USME E-5,feb.,URBANA,VIAS PUBLICAS,NO REPORTADO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,29.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-03-02,Viernes,22:00:00,GRAN BRITALIA E-8,mar.,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-03-12,Lunes,10:00:00,MANUEL MEJIA E-8,mar.,URBANA,INTERIOR VEHICULO PARTICULAR,NO REPORTADO,A PIE,CONDUCTOR VEHICULO,27.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-03-26,Lunes,14:30:00,LA PERSEVERANCIA E-3,mar.,URBANA,FRENTE A COLEGIO - VIA PUBLICA,NO REPORTADO,CONDUCTOR VEHICULO,A PIE,11.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,-,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-03-31,Sábado,17:00:00,SANTA LUCIA E-18,mar.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,42.0,SOLTERO,COLOMBIA,COMERCIANTE,-,PRIMARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-04-04,Miércoles,10:00:00,POLO CLUB E-12,abr.,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,82.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-04-04,Miércoles,14:00:00,CASABLANCA I E-8,abr.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40.0,-,COLOMBIA,COMERCIANTE,-,-,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-04-04,Miércoles,23:35:00,TEUSAQUILLO E-13,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,24.0,SOLTERO,COLOMBIA,EDUCADOR,MUSICA,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-04-04,Miércoles,23:35:00,TEUSAQUILLO E-13,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,29.0,SOLTERO,COLOMBIA,EDUCADOR,MUSICA,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-04-13,Viernes,20:30:00,FRANCO E-9,abr.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,36.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERÍA ELECTRICA,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-04-17,Martes,14:00:00,GRAN BRITALIA E-8,abr.,URBANA,VIAS PUBLICAS,-,A PIE,CONDUCTOR VEHICULO,53.0,CASADO,COLOMBIA,COMERCIANTE,-,-,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-04-17,Martes,12:30:00,GRAN BRITALIA E-8,abr.,URBANA,VIAS PUBLICAS,-,CONDUCTOR VEHICULO,A PIE,64.0,-,COLOMBIA,PENSIONADO,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
