FECHA,DIA,HORA,BARRIO,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,ESCOLARIDAD,DESCRIPCION_CONDUCTA
2010-09-28,Martes,18:00:00,BRASILIA I SECTOR E-7,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,38,CASADO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-10-05,Martes,15:50:00,SANTA LUCIA E-18,URBANA,CASAS DE HABITACION,DIRECTA,-,34,CASADO,COLOMBIA,COMERCIANTE,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-10-12,Martes,10:00:00,SANTA BARBARA E-1,URBANA,OFICINAS,LLAMADA TELEFONICA,-,39,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-10-13,Miércoles,11:20:00,-,URBANA,PARQUES,MIXTA,-,61,CASADO,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-10-23,Sábado,15:30:00,PATIO BONITO I E-8,URBANA,ALMACENES,LLAMADA TELEFONICA,-,39,UNION LIBRE,COLOMBIA,COMERCIANTE,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-10-25,Lunes,14:00:00,HIPOTECHO OCCIDENTAL E-8,URBANA,PLAZAS DE MERCADO,LLAMADA TELEFONICA,-,51,CASADO,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO,ARTÍCULO 244. EXTORSIÓN
2010-10-25,Lunes,21:00:00,VILLA NYDIA E-1,URBANA,PANADERIAS,LLAMADA TELEFONICA,-,37,SOLTERO,PERU,COMERCIANTE,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-10-26,Martes,10:30:00,LA GAITANA E-11,URBANA,CASAS DE HABITACION,MIXTA,-,44,UNION LIBRE,COLOMBIA,COMERCIANTE,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-10-26,Martes,10:45:00,TECHO E-8,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,55,DIVORCIADO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-10-28,Jueves,15:00:00,TINTAL E-8,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,28,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO,ARTÍCULO 244. EXTORSIÓN
2010-10-29,Viernes,17:00:00,SAN JOSE SPRING E-11,URBANA,CASAS DE HABITACION,REDES SOCIALES,-,29,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-11-04,Jueves,14:00:00,LA LIBERTAD I E-7,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,32,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-11-04,Jueves,15:20:00,LUCERO ALTO E-19,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,50,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-11-09,Martes,10:00:00,SAN VICTORINO E-3,URBANA,CENTRO COMERCIAL,DIRECTA,-,41,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-11-13,Sábado,09:10:00,PALOQUEMAO E-14,URBANA,BANCOS,LLAMADA TELEFONICA,-,40,CASADO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-11-23,Martes,14:00:00,LA CABAÑA E-7,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,67,CASADO,COLOMBIA,AGRICULTOR,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-12-05,Domingo,18:00:00,RECODO DEL RESTREPO DESARROLLO E-15,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,68,CASADO,COLOMBIA,AGRICULTOR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-12-20,Lunes,12:30:00,LA ALQUERIA E-16,URBANA,CASAS DE HABITACION,DIRECTA,-,48,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-12-27,Lunes,11:00:00,LAS GRANJAS E-9,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,53,UNION LIBRE,COLOMBIA,COMERCIANTE,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-03,Lunes,10:00:00,EL MIRADOR E-19,URBANA,CASAS DE HABITACION,DIRECTA,-,26,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-03,Lunes,08:00:00,SAN BERNARDO E-3,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,38,CASADO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-04,Martes,09:00:00,NAVARRA E-1,URBANA,APARTAMENTO,CARTA EXTORSIVA,-,53,CASADO,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2011-01-04,Martes,15:55:00,LAS BRISAS E-8,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,47,CASADO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-06,Jueves,18:45:00,CASA LINDA E-19,URBANA,APARTAMENTO,DIRECTA,-,37,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-07,Viernes,08:25:00,VILLA NYDIA E-1,URBANA,CASAS DE HABITACION,MIXTA,-,38,SOLTERO,PERU,COMERCIANTE,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2011-01-07,Viernes,21:05:00,VALBANERA E-15,URBANA,VIAS PUBLICAS,DIRECTA,-,49,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-08,Sábado,13:40:00,CONTADOR E-1,URBANA,OFICINAS,LLAMADA TELEFONICA,-,42,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2011-01-10,Lunes,17:00:00,AURES I-II E-11,URBANA,TRANSPORTE PÚBLICO,DIRECTA,-,29,DIVORCIADO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2011-01-10,Lunes,12:55:00,GALERIAS E-13,URBANA,APARTAMENTO,LLAMADA TELEFONICA,-,29,SOLTERO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-12,Miércoles,12:00:00,CHAPINERO CENTRAL E-2,URBANA,CASAS DE HABITACION,DIRECTA,-,45,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2011-01-12,Miércoles,23:30:00,VILLA HERMOSA E-5,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,39,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,ANALFABETA,ARTÍCULO 244. EXTORSIÓN
